object_id,volume_nm_3,voxel_count,com_x_nm,com_y_nm,com_z_nm
313,72802631.68,212,47698.2,1877.5,1040.6
167,72459223.04,211,33662.8,1455.6,18699.5
60,72115814.4,210,32991.5,2302.3,18328.0
256,72115814.4,210,14792.7,1509.6,10188.3
12,71428997.12,208,15906.3,990.6,16254.7
222,70398771.2,205,39478.0,2266.6,31142.3
18,69025136.64,201,40741.6,2415.8,322.1
223,65247641.6,190,32728.6,2086.1,27250.7
98,64904232.96,189,33217.9,1158.3,10249.1
419,63874007.04,186,14990.9,1459.7,9707.5
67,62843781.12,183,20085.8,2018.5,27039.0
248,62843781.12,183,21307.4,1169.8,17306.2
264,62500372.48,182,35875.6,1902.5,12087.8
312,62156963.84,181,7198.4,2755.8,14586.2
43,61813555.2,180,20942.7,1371.9,2293.2
132,61813555.2,180,46142.0,2710.2,1204.7
30,61470146.56,179,29945.9,1575.3,23662.0
104,60439920.64,176,31626.4,689.6,16955.0
329,60439920.64,176,22969.3,1170.0,8814.9
94,59409694.72,173,37101.2,2188.2,3593.5
128,59066286.08,172,41497.9,1173.8,8768.4
111,58379468.8,170,16697.1,938.0,15654.3
179,58379468.8,170,23801.9,5375.5,15760.3
296,58036060.16,169,25683.0,5457.1,13772.7
35,57349242.88,167,16768.9,689.9,17575.4
41,56662425.6,165,12280.8,3575.2,10919.2
298,56662425.6,165,41998.9,3038.8,235.9
282,55975608.32,163,25184.0,1619.8,7787.0
50,55632199.68,162,12156.4,3031.3,17966.6
123,54258565.12,158,34814.4,2587.6,19353.3
392,53915156.48,157,23386.3,3867.6,20571.6
195,53571747.84,156,44074.7,1803.5,29299.5
285,53571747.84,156,32599.8,985.1,18310.0
370,53228339.2,155,34165.1,1764.2,27555.6
318,52884930.56,154,46733.8,808.0,11035.4
163,52541521.92,153,42799.2,2761.5,2393.9
381,52541521.92,153,47485.0,2260.0,973.0
80,51854704.64,151,28396.0,4685.0,18514.6
115,51854704.64,151,11264.8,2349.3,32624.7
418,51854704.64,151,47649.0,2339.9,1730.0
145,51511296.0,150,15389.6,3838.4,10388.0
194,51167887.36,149,44084.3,2410.9,32902.9
212,51167887.36,149,12490.2,622.3,18007.5
153,50824478.72,148,46799.3,1990.6,2246.9
391,50824478.72,148,43631.7,1208.4,7235.9
412,50824478.72,148,47197.6,3826.3,221.1
144,49794252.8,145,46257.4,3601.2,264.8
101,49107435.52,143,47138.9,1849.7,510.1
383,48077209.6,140,34749.1,1942.7,28500.0
